number,city,gu,dong,name,addr,nlink,nreview,nscore,dlink,dreview,dscore
23,인천,남동구,구월동,스타벅스 인천구월점,인천 남동구 예술로 138,"https://map.naver.com/v5/entry/place/12950630?placePath=%2Freview%2Fvisitor&c=14103804.5492677,4501567.6882847,15,0,0,0,dh",411,4.48,https://place.map.kakao.com/7961935,17,3.4
24,인천,남동구,구월동,스타벅스 인천터미널사거리점,인천 남동구 예술로 126,"https://map.naver.com/v5/entry/place/1679059385?placePath=%2Freview%2Fvisitor&c=14103790.2173249,4501436.3121424,15,0,0,0,dh",334,4.51,https://place.map.kakao.com/621080001,7,3.6
25,인천,남동구,구월동,스타벅스 구월로데오점,인천 남동구 인하로 497-22,"https://map.naver.com/v5/entry/place/12950629?placePath=%2Freview%2Fvisitor&c=14103928.7594387,4501297.7700286,15,0,0,0,dh",354,4.49,https://place.map.kakao.com/7961650,14,3.8
26,울산,남구,삼산동,스타벅스 울산디자인거리점,울산 남구 삼산중로74번길 30-1,"https://map.naver.com/v5/entry/place/34363442?placePath=%2Freview%2Fvisitor&c=14397439.7820824,4237661.6821588,15,0,0,0,dh",233,4.54,https://place.map.kakao.com/23619796,5,3.6
27,울산,남구,삼산동,스타벅스 울산삼산타워점,울산 남구 삼산로 273,"https://map.naver.com/v5/entry/place/37288185?placePath=%2Freview%2Fvisitor&c=14397217.6369689,4237523.1400450,15,0,0,0,dh",188,4.54,https://place.map.kakao.com/27272498,13,4.4
28,울산,남구,삼산동,스타벅스 울산삼산로점,울산 남구 삼산로278번길 8,"https://map.naver.com/v5/entry/place/36341239?placePath=%2Freview%2Fvisitor&c=14397277.3533973,4237384.5979312,15,0,0,0,dh",316,4.54,https://place.map.kakao.com/26506097,20,1
29,울산,남구,달동,스타벅스 울산삼산대로점,울산 남구 삼산로 257,"https://map.naver.com/v5/entry/place/20669028?placePath=%2Freview%2Fvisitor&c=14397031.3217125,4237480.1442166,15,0,0,0,dh",215,4.52,https://place.map.kakao.com/17127108,7,3.3
30,광주,동구,충장로3가,스타벅스 광주충장로점,광주 동구 충장로 65,https://map.naver.com/v5/entry/place/16269535?placePath=%2Freview%2Fvisitor,200,4.53,https://place.map.kakao.com/12525006,10,3.8
31,광주,동구,금남로2가,스타벅스 충장서림점,광주 동구 충장로 93-5,"https://map.naver.com/v5/entry/place/11689893?placePath=%2Freview%2Fvisitor&c=14127884.6018347,4184107.9892165,15,0,0,0,dh",179,4.49,https://place.map.kakao.com/11116046,6,3.4
32,광주,동구,황금동,스타벅스 광주황금점,광주 동구 중앙로160번길 14,"https://map.naver.com/v5/entry/place/36202675?placePath=%2Freview%2Fvisitor&c=14127581.2423787,4184007.6656168,15,0,0,0,dh",240,4.54,https://place.map.kakao.com/26572122,2,4
33,광주,동구,충장로1가,스타벅스 충장일가점,광주 동구 서석로 43,"https://map.naver.com/v5/entry/place/20673377?placePath=%2Freview%2Fvisitor&c=14127989.7027486,4183931.2285885,15,0,0,0,dh",229,4.57,https://place.map.kakao.com/17127105,6,3.3
34,대구,중구,동성로3가,스타벅스 동성로광장점,대구 중구 동성로 4,"https://map.naver.com/v5/entry/place/31318187?placePath=%2Freview%2Fvisitor&c=14314558.1568499,4282463.3353624,15,0,0,0,dh",248,4.54,https://place.map.kakao.com/17884726,6,3.8
35,대구,중구,동성로3가,스타벅스 대구중앙로점,대구 중구 남성로 61,"https://map.naver.com/v5/entry/place/33021692?placePath=%2Freview%2Fvisitor&c=14314464.9992217,4282463.3353624,15,0,0,0,dh",272,4.5,https://place.map.kakao.com/19964016,4,4
36,대구,중구,동성로2가,스타벅스 대구228중앙공원점,대구 중구 동성로2길 95,"https://map.naver.com/v5/entry/place/1182551532?placePath=%2Freview%2Fvisitor&c=14314856.7389917,4282857.4637895,15,0,0,0,dh",61,4.56,https://place.map.kakao.com/895501109,1,5
37,대구,중구,삼덕동1가,스타벅스 동성로중앙점,대구 중구 동성로5길 38,"https://map.naver.com/v5/entry/place/21854453?placePath=%2Freview%2Fvisitor&c=14314830.4637632,4282484.8332766,15,0,0,0,dh",220,4.54,https://place.map.kakao.com/12647869,13,3.9
38,대구,중구,덕산동,스타벅스 반월당점,대구 중구 달구벌대로 2085,"https://map.naver.com/v5/entry/place/11689897?placePath=%2Freview%2Fvisitor&c=14314295.4045652,4282305.6839916,15,0,0,0,dh",241,4.47,https://place.map.kakao.com/7961655,8,4.2
39,대구,중구,삼덕동1가,스타벅스 동성로로데오점,대구 중구 동성로5길 62,"https://map.naver.com/v5/entry/place/31318185?placePath=%2Freview%2Fvisitor&c=14314964.2285627,4282451.3920767,15,0,0,0,dh",223,4.53,https://place.map.kakao.com/17884727,4,4.3
40,대구,중구,남일동,스타벅스 대구중앙로역점,대구 중구,"https://map.naver.com/v5/entry/place/439714228?placePath=%2Freview%2Fvisitor&c=14314574.8774498,4282924.3461893,15,0,0,0,dh",386,4.57,https://place.map.kakao.com/1868156776,8,2.3
41,대구,중구,계산동2가,스타벅스 대구계산점,대구 중구 달구벌대로415길 1,"https://map.naver.com/v5/entry/place/564116575?placePath=%2Freview%2Fvisitor&c=14314054.1501947,4282341.5138486,15,0,0,0,dh",233,4.53,https://place.map.kakao.com/855623148,4,3.5
42,대전,서구,둔산동,스타벅스 대전대덕로점,대전 서구 대덕대로234번길 18,"https://map.naver.com/v5/entry/place/35562995?placePath=%2Freview%2Fvisitor&c=14179458.0980130,4349450.8360258,15,0,0,0,dh",315,4.49,https://place.map.kakao.com/25738845,11,3.8
43,대전,서구,둔산동,스타벅스 둔산은하수점,대전 서구 둔산로31번길 28,"https://map.naver.com/v5/entry/place/11807594?placePath=%2Freview%2Fvisitor&c=14179145.1839284,4349379.1763118,15,0,0,0,dh",283,4.48,https://place.map.kakao.com/12108460,13,3.5
44,대전,서구,둔산동,스타벅스 대전둔산로점,대전 서구 대덕대로241번길 35,"https://map.naver.com/v5/entry/place/38239078?placePath=%2Freview%2Fvisitor&c=14179087.8561572,4349555.9369397,15,0,0,0,dh",272,4.38,https://place.map.kakao.com/1764006890,7,3.6
45,대전,서구,둔산동,스타벅스 대전둔산점,대전 서구 대덕대로 189,"https://map.naver.com/v5/entry/place/35317067?placePath=%2Freview%2Fvisitor&c=14179087.8561572,4349001.7684847,15,0,0,0,dh",238,4.51,https://place.map.kakao.com/25540419,8,4.4
46,수원,팔달구,매산동,스타벅스 수원매산점,경기도 수원시 팔달구 매산로 11,"https://map.naver.com/v5/entry/place/11840341?placePath=%2Freview%2Fvisitor&c=14137408.1778276,4476540.5331642,15,0,0,0,dh",508,4.4,https://place.map.kakao.com/11316780,22,3.1
47,창원,의창구,용호동,스타벅스 창원용지호수점,경남 창원시 의창구 용지로169번길 1,"https://map.naver.com/v5/entry/place/21120913?placePath=%2Freview%2Fvisitor&c=14321146.0732252,4195093.4233753,12,0,0,0,dh",385,4.54,https://place.map.kakao.com/17048398,22,3.3
48,창원,성산구,상남동,스타벅스 창원상남동R점,경남 창원시 성산구 상남로 132,"https://map.naver.com/v5/entry/place/12950780?placePath=%2Freview%2Fvisitor&c=14321146.0732252,4195093.4233753,12,0,0,0,dh",401,4.54,https://place.map.kakao.com/7975167,8,3.8
49,창원,성산구,상남동,스타벅스 창원상남중앙점,경남 창원시 성산구 마디미로 20,"https://map.naver.com/v5/entry/place/33021687?placePath=%2Freview%2Fvisitor&c=14321146.0732252,4195093.4233753,12,0,0,0,dh",187,4.53,https://place.map.kakao.com/20494140,9,2.9
50,창원,성산구,상남동,스타벅스 창원상남사거리점,경남 창원시 성산구 단정로 25,"https://map.naver.com/v5/entry/place/36267219?placePath=%2Freview%2Fvisitor&c=14321146.0732252,4195093.4233753,12,0,0,0,dh",235,4.57,https://place.map.kakao.com/26459308,7,3
51,창원,성산구,상남동,스타벅스 창원상남로점,경남 창원시 성산구 상남로 88,"https://map.naver.com/v5/entry/place/1553213937?placePath=%2Freview%2Fvisitor&c=14324124.7286712,4194364.8829495,15,0,0,0,dh",269,4.46,https://place.map.kakao.com/723155217,6,4.8
52,창원,성산구,상남동,스타벅스 창원리베라점,경남 창원시 성산구 중앙대로100번길 9,"https://map.naver.com/v5/entry/place/33021688?placePath=%2Freview%2Fvisitor&c=14324124.7286712,4194364.8829495,15,0,0,0,dh",207,4.51,https://place.map.kakao.com/20494144,9,2.9
53,성남,분당구,서현동,스타벅스 서현역점,경기 성남시 분당구 서현로210번길 20,"https://map.naver.com/v5/entry/place/20669195?placePath=%2Freview%2Fvisitor&c=14150904.0906342,4493119.0080021,15,0,0,0,dh",402,4.39,https://place.map.kakao.com/17127082,22,3.6
54,성남,분당구,서현동,스타벅스 서현미래에셋점,경기 성남시 분당구 황새울로359번길 11,"https://map.naver.com/v5/entry/place/12950642?placePath=%2Freview%2Fvisitor&c=14150904.0906342,4493119.0080021,15,0,0,0,dh",303,4.43,https://place.map.kakao.com/7977696,11,3.6
55,성남,분당구,서현동,스타벅스 분당구청점,경기 성남시 분당구 분당로 43,"https://map.naver.com/v5/entry/place/34975381?placePath=%2Freview%2Fvisitor&c=14150904.0906342,4493119.0080021,15,0,0,0,dh",350,4.41,https://place.map.kakao.com/24765607,23,3.4
56,성남,분당구,서현동,스타벅스 서현N타운점,경기 성남시 분당구 황새울로335번길 5,"https://map.naver.com/v5/entry/place/31316845?placePath=%2Freview%2Fvisitor&c=14150904.0906342,4493119.0080021,15,0,0,0,dh",338,4.43,https://place.map.kakao.com/17884711,8,4.3
57,성남,분당구,서현동,스타벅스 서현점,경기 성남시 분당구 황새울로360번길 19,"https://map.naver.com/v5/entry/place/35044678?placePath=%2Freview%2Fvisitor&c=14151592.9036654,4493027.3393794,15,0,0,0,dh",188,4.43,https://place.map.kakao.com/24868735,11,4
58,고양,일산동구,장항동,스타벅스 라페스타광장점,경기 고양시 일산동구 중앙로1275번길 38-9,"https://map.naver.com/v5/entry/place/33021653?placePath=%2Freview%2Fvisitor&c=14111505.5798675,4531542.9466582,15,0,0,0,dh",359,4.46,https://place.map.kakao.com/20494136,13,3.1
59,고양,일산동구,장항동,스타벅스 일산동구청점,경기 고양시 일산동구 정발산로 38,"https://map.naver.com/v5/entry/place/30805543?placePath=%2Freview%2Fvisitor&c=14111505.5798675,4531542.9466582,15,0,0,0,dh",307,4.47,https://place.map.kakao.com/17884705,8,3.7
60,고양,일산동구,장항동,스타벅스 웨스턴돔B점,경기 고양시 일산동구 정발산로 24,"https://map.naver.com/v5/entry/place/33636701?placePath=%2Freview%2Fvisitor&c=14111505.5798675,4531542.9466582,15,0,0,0,dh",272,4.4,https://place.map.kakao.com/17127093,13,3.6
